Image_name;Rule1;Rule3;Rule4;Rule5;Rule6;Rule7;Rule8
161479784906bbb561b1d744587330dc661a42e6c204cd17.jpg;0;0;0;1;0;0;0
1599682384dd4f278ad49d5c257b8e500f89461041127300.jpg;0;0;0;0;0;0;0
160967926478d383ff931359efb34de7c98ce4cd2fddf64a.jpg;0;0;0;0;0;0;0
161255478742da9f9f68f2831a8925524727c9607593c511.jpg;0;0;0;0;1;0;0
1596561274204bfdcab57ddbe96061f4fe85c2001b62ba34.jpg;0;0;0;0;0;0;0
1608315548aa3d5a82dc79894e470212575f3f71fe85af10.jpg;0;0;0;0;0;0;0
16020700440b52ab984dddc0460e962367f3486919496e56.jpg;0;1;0;0;0;0;1
1612138883bda05e07af07ca674866404eafb2a918ca9337.jpg;0;0;0;0;0;0;0
15938990357d69cb4846ce4b07091b54c40cd61a61f5e2ae.jpg;0;0;0;0;0;0;0
1607449384a64c7f5be46771099039ee9444a8da78c9808c.jpg;0;0;0;0;0;0;0
1612431833a7c51547f5905f9881dfb2007d4f95f1631710.jpg;0;0;0;0;0;0;0
1605283572ef0c322c83ea4eb7208265b6925543c01beecd.jpg;0;0;0;0;0;0;0
15845316781ce988a488266059b6f1c0ba0abbc2c6a7cae7.jpg;0;0;0;0;0;0;1
16011186413e180896bd236f556d0656748cf25d7b59cb4f.jpg;0;0;0;0;0;0;0
160768031286220c73347e4d15433962cd5ac47b00881d8b.jpg;0;0;0;0;0;0;0
16027880326d4747312c80224648d3138d5c132a3d1005f0.jpg;0;0;0;0;0;0;0
159872239205731e987a1d1fa4b0a0864d3f31446477d4ec.jpg;0;0;0;0;0;0;0
1609244775ef14c1eff595ae701049e2333e79bbaef9a59a.jpg;0;0;0;0;0;0;0
159946994358c50d37fa8e0b4b9f6545cf1986dc4a770fa7.jpg;0;0;0;0;0;0;0
158422687796022cfc3d07bd010bf71cdaaa93ab04ae3685.jpg;0;0;0;0;0;0;0
1596306354f0389d3500d18c51fff6edcadb50c85c74c25d.jpg;0;0;0;0;0;0;0
1598626463c2268fac9d58bda03fd9b9421f3b6dbd33754e.jpg;0;0;0;0;0;0;0
1597064108f9f9507cd2e9b9afc87c454b797e054cd6bcf5.jpg;0;0;0;0;0;0;0
16150829352f3a08d54ecdb9b480c24c536aaf0a6533f711.jpg;0;0;0;0;0;0;0
16037901626927df3f7694eead512716df72e99cf43bb08d.jpg;0;0;0;0;0;0;1
161377535276d70a450315b306606ac3c65dfabf65d055c2.jpg;0;0;0;0;0;0;0
16044256032c598c2ae91883106af7b014b101b04d403d21.jpg;0;0;0;0;0;0;0
1614253874d4947795569a9ff13c5c1c6a801f99c68d272a.jpg;0;0;0;0;0;0;0
16092966281fdb70a29299b03054158a5d5773a42979f202.jpg;0;0;0;0;1;0;0
16145366845dd44a86bcd9fc191306fb14492f95f831e1df.jpg;0;0;0;1;0;0;0
1612514785a0ce2dfde1bc93ba4be1e3c48583fc8be8c7b8.jpg;0;0;0;0;0;0;0
16150587654133ddb25bb43cf2f9aa158521ae5e6a2a8746.jpg;0;1;0;0;0;0;0
1600616918d8658e141c69ed02726886a3c597c0f90a476f.jpg;0;0;0;1;1;0;0
16085763550354947521d525da8d7bfffb6f0fb7bbafaa99.jpg;0;0;0;0;0;0;0
1600616918d8658e141c69ed02726886a3c597c0f90a476f.jpg;0;0;0;1;1;0;0
1601388480533b1c571b77ac36eee82a468df79beb227fc5.jpg;0;0;0;0;0;0;0
15945548515a89756e4a5a06294f587adc92c84378255e3f.jpg;0;0;0;0;0;0;0
15835314128302c134a0982308e6d305327932bd39a653f9.jpg;0;0;0;1;1;0;0
16141750935b58e989a237bc43467ae4f403fe441a5ebdfd.jpg;0;0;0;0;0;0;0
159309724186e4600310c7b7645763b30269b77c51dfad15.jpg;0;0;0;0;0;0;0
1609079750d23b891538daee91e33043702448923c92e6c5.jpg;0;0;0;0;0;0;1
16084708148a589afe1fea20cb64241c750b0409dcf7c9e9.jpg;0;0;0;0;0;0;1
1597056690bcd412d14b428f4591ea509485ffba4871ea98.jpg;0;0;0;0;0;0;0
1607109339e0858e0a2a7f55bf4cfd8f7e4ef99458bd3178.jpg;0;0;0;1;0;0;0
1584106522accffb64229ada172518c5f054140110a6f631.jpg;0;0;0;0;0;0;0
1591814635bef2c7d242181af89a762abe4c7fe550ae110b.jpg;0;0;0;0;0;0;0
16020057992155140cbe9699aeb9b74a0e81d99d2e6c902c.jpg;0;0;0;1;0;0;0
16123381826281758dbffd00c0e6f267d391d1ee08a721eb.jpg;0;0;0;0;0;0;0
159760944427c63032c5054f509945a1443660aa4b268bcf.jpg;0;0;0;0;0;0;0
15956040787ce89d7241da28e209fec13ed05a59b2c3291e.jpg;0;0;0;0;0;0;1
16133164142c5d3b9351a0eb28487cf38896d5250740ba56.jpg;0;0;0;0;0;0;0
16022695926a80e3731a9a915db2b7dbd5cb6294dd368b7c.jpg;0;0;0;0;0;0;0
160560061768fccf8ba3783c2c2e4af4697ee02948a848c0.jpg;0;0;0;0;0;0;0
15974952031f284e3df846118d41e1cd31533eb4cc919406.jpg;0;0;0;0;0;0;0
16057341822fd5e297b77c24e47de515e823f7b6e4d9b09d.jpg;0;0;0;0;0;0;0
1586361760722f79f08a9ea417113eff34969a5bc76761b6.jpg;0;0;0;1;0;0;0
1612112016ef696dbdc6032fbb7fbe9dec01b9d1bb4324e0.jpg;0;0;0;0;0;0;0
159782050626082294bb3c3e2af37e6e4592aacfd48a1e2c.jpg;0;1;0;0;0;0;1
1614681202c8d3a535e1ccd09358b29202981e295bf02158.jpg;0;0;0;0;0;0;0
16042502350100323ed192965f3bb792f8bc9299b00ef339.jpg;0;0;0;0;0;0;0
159691574331d757badad654e9bd3676722874bc05410a9b.jpg;0;0;0;0;0;0;0
16085763550354947521d525da8d7bfffb6f0fb7bbafaa99.jpg;0;0;0;0;0;0;0
16023409988a8052ff2995e8b706eee5daa4b271bdfe0b36.jpg;0;0;0;0;0;0;0
1602878428e1abac23a25fecb6dc80eab52b9e243188597a.jpg;0;0;0;1;0;0;0
1598641974f07e6ea2f901860c25907f3a3dd5a88f777316.jpg;0;0;0;0;0;0;0
1614975233f085437cbabcea2acdc5fec1f80f7daa1755b4.jpg;0;0;0;0;0;0;0
1607109339e0858e0a2a7f55bf4cfd8f7e4ef99458bd3178.jpg;0;0;0;1;0;0;0
159782050626082294bb3c3e2af37e6e4592aacfd48a1e2c.jpg;0;1;0;0;0;0;1
1609000493e240a76548e9a97027415a4c9d31fd2002fb9b.jpg;0;0;0;0;0;0;1
1614469588f027e30df1d90049f43936f89587aab2775c68.jpg;0;0;0;1;0;0;0
1605106239c5e4d17fcc9dec49b47e7e0b89c9412f3ca3c5.jpg;0;0;0;0;0;0;1
16063820318f3cada7a88211453d3fa1ff520f57e438043e.jpg;0;0;0;0;0;0;0
1607109339e0858e0a2a7f55bf4cfd8f7e4ef99458bd3178.jpg;0;0;0;1;0;0;0
16104417279564ce61486ccd40bcd73a39af71638888c352.jpg;0;0;0;0;0;0;0
159782050626082294bb3c3e2af37e6e4592aacfd48a1e2c.jpg;0;1;0;0;0;0;1
1605884986354365fdca4ea87567ac99b7b557650f55d77f.jpg;0;1;0;0;0;0;0
160527238695d64ed0d744109d11f3bfc5221bf2c1c4f96d.jpg;0;0;0;0;0;0;0
1613915686607798624b5ef96ea3b5e1a41308f2e9d3a357.jpg;0;0;0;0;0;0;0
1584430811249fb774a497d5e09f5feb0d5a33dbac8734da.jpg;0;0;0;0;0;0;1
160285321384e1663e96f201cb488c35cb71e409bd76447e.jpg;0;0;0;1;0;0;0
16008558227d95f9be9b1901d076600dd8f91c65eabf56ee.jpg;0;0;0;0;0;0;0
1601909965443ba849c87bdbaef005c59f522fa1fc9b3a72.jpg;0;0;0;0;0;0;0
16144545213ac967707e3d477f6d31b29abb1fab9d5c5a4b.jpg;0;1;0;1;0;0;1
15956040787ce89d7241da28e209fec13ed05a59b2c3291e.jpg;0;0;0;0;0;0;1
16138318427e702237bd7841faac16869a686203dcf8c424.jpg;0;0;0;0;0;0;0
16119356019bbed8418d633ff9dfa3c64224d8e3f0898d65.jpg;0;0;0;0;0;0;0
16016621589321d2da91bc231e5f5bc78cf7710238799801.jpg;0;0;0;0;0;0;0
1588780025c74d8ca51d337be36901d4b5aeeb604695cb8c.jpg;0;0;0;0;0;0;1
1611141185aeedb9b04126da4f8241195f0ced741d190ab9.jpg;0;0;0;0;0;0;0
161037637461bed9473a1de7e27e3c7c45fcbc69af85363f.jpg;0;0;0;0;0;0;1
