Image_name;Rule1;Rule2;Rule5;Rule6;Rule7
16150493650a0aebbd15ea733899e3459bf341fcfe1f041c.jpg;0;0;1;0;1
1612138883bda05e07af07ca674866404eafb2a918ca9337.jpg;0;0;1;0;0
16145503726996e70be743aac74c56cf9222ddf213992e6a.jpg;0;0;1;1;1
16138318427e702237bd7841faac16869a686203dcf8c424.jpg;0;0;0;1;1
1604915354e5320dd8d7f02d6d0d2fbc70c021118d41e8e8.jpg;0;0;0;1;1
158601354602ddba8a1b9c7184fd3459c0f781be6f8d1b9a.jpg;0;0;0;0;1
161150334354a3b5e080670203a46c19964ec968e6912626.jpg;0;1;0;1;1
1609095702c04f52b97230a11012f5ef39b6e63417a62e74.jpg;0;0;0;0;0
16013959149db7cfe0e5a9fd788ad78c6ac13b64a38f1b3e.jpg;0;0;0;1;1
1608310652783034b09420fd353292e5c0becbec96f9faf5.jpg;0;0;0;1;1
161461854213401579320af6091f29792dd3642b3be8888e.jpg;0;0;0;1;1
1599723350a71ad6afd9863ecc0696c01c838a0544543654.jpg;0;0;0;0;1
1611509517bcecdf187f2188c5547d98ecacc2111516b44e.jpg;0;0;0;0;1
15875553711e0cd99b4e94f9f18a50d55bb4c936f35ada82.jpg;0;0;0;0;1
1605175921d4796305c2dfaa262def0bf64acca300b2c437.jpg;0;0;0;0;1
16055050635c6270d755cd7d396d97c7b8e75348795abdea.jpg;0;0;0;0;0
1613917959f2c14dd21cae35e54e8975cadb593e53fbead2.jpg;0;0;1;0;1
1612026529b9553dbdc13817d0e9a5f2447c73d39fb71374.jpg;0;0;0;0;1
1605634741b4b62bac1a544b27d44f822b59e76c34ede19a.jpg;0;0;1;0;0
1591598200e394f7cbb26f541993aac3e9820fda71d80152.jpg;0;0;0;0;1
1597417309934e1e4d0d28fd580ceef0a982927ea76fb623.jpg;0;0;0;0;1
15970861206c09e90b7fa48e22c9c55794f670f582f284ac.jpg;0;0;0;0;1
1608466175b04e37c960f0a96013a8a4a1dead7371b745ca.jpg;0;0;1;1;1
15994087880e6bcf96701e61ca1fcfdece8a607d9dc3ed8e.jpg;0;0;1;1;1
1607596177fced49a04cfe7a8fbe8ba8a4090ce56d44e5b5.jpg;0;0;0;0;1
16076197394ef52070661281d327f0798d9150d83e70a69d.jpg;0;0;0;1;1
15840972184af02a3d3008ceb7ecff39f8cd66e1637330aa.jpg;0;0;0;1;1
1606163186e3f7a6e6b12c7dce252109d45b3188e1a7fc00.jpg;0;1;0;0;1
1594014429fff0379dfbd42d4da73ab6c90e79c61adafa2d.jpg;0;1;1;1;1
16134892984ee9b06bab6266d1aa3de44601bef87bbcf88a.jpg;0;0;0;1;0
160771142644a94d98aaa3114f39c43e6a45318491a67dd6.jpg;0;0;0;0;1
160827416862605df03f058414cbd167de5b610920e6b780.jpg;0;0;1;0;1
1603961373d1f0adf287763a67ea460742fbc2df5304629c.jpg;0;0;0;0;1
1608827007f4215fce8a94ec0b2991ab4d936b50d1cd8d07.jpg;0;0;0;1;0
1601455065cb16ac38b3c73eadf787545d47a3bc244721e5.jpg;0;0;0;1;1
1603629766605471323d8aadd99a0d160d25e0cf1dfbb617.jpg;0;0;0;0;1
1586004819fc369c5b37a84656462a79b67656242aeb0019.jpg;0;0;0;1;1
1590760396cb353c61e7dfc8a2967e415e8085cb6ecaa912.jpg;0;0;0;1;1
16014013539f6ee8c2053fa044d70a503785e44dcac538e6.jpg;0;1;0;0;1
159760944427c63032c5054f509945a1443660aa4b268bcf.jpg;0;0;0;0;1
1608777644fa5cda0fb4208f17714aeb47ccfb15be56c39f.jpg;0;0;0;1;1
1599750370400d15d2563038b434a4b1b1d5f90668d0ebba.jpg;0;0;0;1;1
1607596177fced49a04cfe7a8fbe8ba8a4090ce56d44e5b5.jpg;0;0;0;0;1
16014915510a463ba8a3afd50f049f7bd6519533db3f0ad3.jpg;0;0;0;1;1
1596522557653037b0711b12dbdc1a3d80669e7bc1ce7227.jpg;0;0;0;1;0
15839228301d85f8699e86e3a6b84d80ba0815fe4e884633.jpg;0;0;0;0;1
1603184671d61f7ff4ffc40b9217ac5f4cff8743325f1581.jpg;0;0;0;1;0
1609823828f08f689cc933c2f4d39086ffc2fe571f071a89.jpg;0;0;1;0;0
1612514785a0ce2dfde1bc93ba4be1e3c48583fc8be8c7b8.jpg;0;0;0;0;1
16133164142c5d3b9351a0eb28487cf38896d5250740ba56.jpg;0;0;1;1;1
1607937811963ac83983063cb8f21be6b27dac68ca0cc39a.jpg;0;0;0;1;1
1613845875d86e6077712cee4943c2c3a804738064de60a2.jpg;0;0;0;1;1
1602089131ea578d761d44dc2dac8af36f4d00e1d081af8b.jpg;0;0;0;0;1
1600447840b7eb470bd0e1e429453aa56b0e775589fca3ba.jpg;0;0;0;0;1
16029625335de0351649a725f3c8c736b3bce29bca5f9cac.jpg;0;0;0;0;1
1609503611d659e6f7e1998fb77004807b2ba7fc7bc4c835.jpg;0;0;1;1;1
159829212972aa4e0e0e176f83d188eae123aa249f884084.jpg;0;0;1;1;1
1586518432b96b0e419e115aeb1fa0f4ef22d82e94218c4f.jpg;0;0;0;0;1
1593800971d05235bae4f35f7efb2c895d7c3dd6ccf03ce1.jpg;0;0;0;1;1
160742292658bf483f34feaac5041b53e5323d9113a30b0a.jpg;0;1;0;1;1
16092966281fdb70a29299b03054158a5d5773a42979f202.jpg;0;0;1;0;0
16029625335de0351649a725f3c8c736b3bce29bca5f9cac.jpg;0;0;0;0;1
16087198899d72d0abe3a001d1d2e3fce2b3a46ea9bda689.jpg;0;0;0;0;1
1599195929324e854e10d71d4211b4d31a1d3132589a05ad.jpg;0;0;0;1;1
1602058033ea5f5152dc6876ea6c6eaa3af823278b5c1491.jpg;0;1;0;0;1
1606672265cc1db58ccb331d3ab9c9247bcd4be611088df9.jpg;0;0;0;0;1
1600498601429bef7626ad048e36b46da04210c41d67b246.jpg;0;0;0;0;1
1583952282ff4aca2fe8a252bf9e0bf73d2431de9a17880e.jpg;0;0;0;1;1
16108272844fc0779eb2a3be84a4ea7e9fa56a0781d309d2.jpg;0;0;0;0;0
1596607387db769266832cbbee51a4d75eee800380fccc32.jpg;0;0;0;1;1
15968372751cb6e7e4e0fb87d37f2a12a248b6079a8d80d6.jpg;0;0;0;0;1
1599723350a71ad6afd9863ecc0696c01c838a0544543654.jpg;0;0;0;0;1
15972131603fb345a4b3fd4d3f4bbbbed145c6aed254cf4c.jpg;0;1;0;0;1
159222872880f6187b3b3fe6315b7798dd1e233092a353a0.jpg;0;0;0;0;1
1609074850704c04b52d7cfa765036a05bd487af958840bc.jpg;0;0;0;1;1
1591814635bef2c7d242181af89a762abe4c7fe550ae110b.jpg;0;1;1;0;0
1615077415b0d9899d8999d3c479fde1da0fd6ac84cf7042.jpg;0;0;0;1;0
15931858409df237c0ac56ab6ba515dce503947b14c6b078.jpg;0;0;0;1;1
160450616562d4c0cd717ed98649bb4c36f60a6294f341d4.jpg;0;0;0;1;1
160934441874497cca93765b0a99b77b5cc9d26cd7a7abeb.jpg;0;1;0;0;1
16113363134487b63f2d668793b885b39f6ace4cb9dc77fc.jpg;0;0;1;1;1
1601455065cb16ac38b3c73eadf787545d47a3bc244721e5.jpg;0;0;0;1;1
15989007845211fc8262edc54c2b85302be32cad30b09bbd.jpg;0;0;1;0;0
160744819414c6feeb582752fd0ca8fa539877c5deeee29f.jpg;0;0;1;1;1
159854255698103f9b1d3a33dc7a6b1906314952ed52630f.jpg;0;0;0;1;1
16094299855e3c55aeb5d3bbe2e20a9931b68dee29afd200.jpg;0;0;0;1;1
16040725256da49d09ccfaf7be36dc5332d2e1c21a25f654.jpg;0;0;0;0;1
16067414706d93d113d30f225122d0ef5e9bffa6c06e1290.jpg;0;0;0;1;1
16037901626927df3f7694eead512716df72e99cf43bb08d.jpg;0;1;0;0;1
16093262953b4abfe0fc322eced1ff457d684587af192518.jpg;0;0;1;1;1
161381881258480b2e1d19a454be58c4a1ef54788ae93e88.jpg;0;0;0;0;1
160872169592973d2a172f54b73fcd55d7842aca5c9f11fa.jpg;0;0;1;1;0
159854255698103f9b1d3a33dc7a6b1906314952ed52630f.jpg;0;0;0;1;1
160167180542e56e0638573406c59ee68791e8992f90e783.jpg;0;0;1;0;0
1587962070611d4ce7ae23f046b7cf15140dff8a62f94a03.jpg;0;0;1;1;1
16052623768bc08bc20bfaaad883e68b243f56e9fd7af1c5.jpg;0;0;1;1;1
160077427849f457c743443b56f587e9acf1e6f39731ffb0.jpg;0;1;0;0;1
